Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2014,39,6.24315896,6.22227,6.5644,48421,3017,6
2014,40,6.370177397,6.28876,6.63068,48366,3075,6
2014,41,6.381685575,6.36496,6.70668,49360,3142,8
2014,42,6.291888379,6.44971,6.79123,49238,3085,13
2014,43,6.547655438,6.54172,6.88302,49071,3202,11
2014,44,6.470504214,6.63957,6.98067,49007,3154,17
2014,45,6.305706282,6.7418,7.0827,51049,3208,11
2014,46,6.445103858,6.84687,7.18755,50550,3240,18
2014,47,6.493061504,6.95318,7.29366,52533,3380,31
2014,48,6.68067713,7.05914,7.39941,51866,3419,46
2014,49,7.020171381,7.16317,7.50323,52748,3620,83
2014,50,7.383202002,7.2637,7.60356,53554,3785,169
2014,51,8.07366995,7.35922,7.69887,54622,4098,312
2014,52,8.524309274,7.44831,7.78774,56028,4264,512
2014,53,10.18405325,7.52961,7.86884,58896,4988,1010
2015,1,10.78710057,7.60191,7.94093,61212,5515,1088
2015,2,10.74267731,7.66411,8.00292,61009,5572,982
2015,3,10.04458566,7.71527,8.05388,58539,5169,711
2015,4,9.487659396,7.75461,8.093,57169,4841,583
2015,5,9.105506589,7.7815,8.11968,57295,4733,484
2015,6,8.807054125,7.79552,8.1335,56591,4579,405
2015,7,8.448489132,7.79643,8.1342,56590,4496,285
2015,8,8.476324259,7.78417,8.12172,56239,4546,221
2015,9,8.384867547,7.75888,8.09622,56435,4542,190
2015,10,8.26282984,7.72087,8.058,55671,4441,159
2015,11,7.967644085,7.67066,8.00758,54395,4195,139
2015,12,7.539600712,7.60894,7.94565,53345,3901,121
2015,13,7.41040506,7.53655,7.87304,53128,3840,97
2015,14,7.458725856,7.45449,7.79077,52757,3835,100
2015,15,7.574522921,7.36391,7.69998,52769,3922,75
2015,16,7.498545666,7.26608,7.60193,51570,3804,63
2015,17,7.193180491,7.16235,7.49799,51382,3646,50
2015,18,6.922346466,7.05418,7.38961,51601,3544,28
2015,19,6.893077288,6.94308,7.27829,50616,3467,22
2015,20,6.589344112,6.8306,7.16561,49231,3230,14
2015,21,6.797813768,6.71833,7.05311,49766,3365,18
2015,22,6.513565695,6.60781,6.94238,49205,3195,10
2015,23,6.476470233,6.5006,6.83495,49703,3208,11
2015,24,6.42685068,6.39817,6.73231,48982,3142,6
2015,25,6.52271613,6.30195,6.63588,48952,3189,4
2015,26,6.333265431,6.21327,6.54697,49090,3103,6
2015,27,6.295712032,6.13333,6.46682,48811,3066,7
2015,28,6.169801729,6.06322,6.39649,49175,3027,7
2015,29,6.195929801,6.00389,6.33694,48548,3005,3
2015,30,5.999505705,5.95612,6.28895,48554,2909,4
2015,31,6.121009728,5.92052,6.25313,48211,2947,4
2015,32,5.904266389,5.89754,6.22993,48050,2829,8
2015,33,6.072891242,5.88743,6.2196,48346,2930,6
2015,34,5.990412035,5.89025,6.22221,48394,2894,5
2015,35,6.041538145,5.9059,6.23763,48630,2935,3
2015,36,6.05562631,5.93406,6.26557,48682,2945,3
2015,37,6.176000656,5.97425,6.30554,48818,3009,6
2015,38,6.211634619,6.02582,6.35688,49198,3048,8
2015,39,6.269733875,6.08793,6.41877,48774,3052,6
2015,40,6.299166258,6.15961,6.49023,50975,3197,14
2015,41,6.292193353,6.23975,6.57015,49919,3134,7
2015,42,6.375521777,6.32712,6.6573,50788,3222,16
2015,43,6.314952807,6.42038,6.75033,50325,3161,17
2015,44,6.597195017,6.51811,6.84784,51052,3348,20
2015,45,6.395923044,6.61883,6.94833,50626,3224,14
2015,46,6.50129639,6.721,7.05028,51682,3347,13
2015,47,6.505268488,6.8231,7.15214,51343,3326,14
2015,48,6.691593108,6.92357,7.25239,51886,3450,22
2015,49,6.618758749,7.02091,7.3495,53575,3526,20
2015,50,6.717592415,7.11364,7.442,52102,3474,26
2015,51,6.682127571,7.20036,7.52849,53037,3529,15
2015,52,7.521347972,7.27977,7.60767,52464,3915,31
2016,1,7.658698183,7.35066,7.67834,55845,4245,32
2016,2,7.760404484,7.41195,7.7394,55577,4283,30
2016,3,7.396004998,7.46272,7.78993,55219,4048,36
2016,4,7.484325315,7.50216,7.82915,55663,4116,50
2016,5,7.521401625,7.52967,7.85643,55136,4086,61
2016,6,7.362461006,7.5448,7.87132,55457,3990,93
2016,7,7.477567298,7.54728,7.87357,56168,4051,149
2016,8,8.003768184,7.53704,7.8631,55199,4231,187
2016,9,8.059584056,7.51416,7.83999,55921,4250,257
2016,10,8.148596235,7.47895,7.80454,56206,4286,294
2016,11,8.253485518,7.43185,7.75722,54583,4154,351
2016,12,8.190410159,7.37352,7.69865,54808,4194,295
2016,13,7.746074124,7.30473,7.62963,53937,3896,282
2016,14,7.758748243,7.22644,7.55111,54068,3945,250
2016,15,7.640394825,7.13974,7.46417,53492,3891,196
2016,16,7.209512342,7.04581,7.37001,53152,3684,148
